FOODID;FOODNAME;LANG
904;VIINI, KESKIARVO, 8-15 TIL% ALKOHOLIA;FI
905;VÄKEVÄ VIINI, MAKEA, KATKERO, SHERRY, VERMUTTI, MADEIRA, HEDELMÄVIINI;FI
906;VIINA, KIRKAS, VODKA, GINI;FI
907;KONJAKKI/ROMMI/VISKI, 40 TIL% ALKOHOLIA;FI
908;LIKÖÖRI, 20-30 TIL% ALKOHOLIA;FI
909;GIN LONG DRINK, 5,5 TIL%;FI
910;VIRVOITUSJUOMA;FI
911;SIIDERI MAKEA, <3 TIL% ALKOHOLIA;FI
912;SIMA;FI
913;OLUT,  I-OLUT, <2,8 TIL% ALKOHOLIA;FI
914;KALJA, KOTIOLUT;FI
915;KIVENNÄISVESI, MINERAALIVESI;FI
917;SITRUUNATEEJUOMAJAUHE, VALMISTAMATON, SOKERILLA MAKEUTETTU PIKATEE;FI
920;VIRVOITUSJUOMA, SOKERITON, LIGHT;FI
921;KIVENNÄISVESI, VÄHÄNATRIUMINEN;FI
922;VESI, VESIJOHTOVESI;FI
923;TEE, YRTTITEE JUOMA;FI
924;PUNAVIINI;FI
925;VALKOVIINI, KUIVA;FI
926;VALKOVIINI, MAKEA;FI
928;VIRVOITUSJUOMA, KOLAJUOMA, KESKIARVO;FI
929;VIINIETIKKA;FI
930;KAHVIJUOMA, SUODATINKAHVIJUOMA;FI
931;KAHVIJUOMA, PANNUKAHVIJUOMA;FI
932;ERIKOISKAHVIJUOMA, CAPPUCCINO, MAKEUTTAMATON, TÄYSMAITO;FI
933;VÄKIVIINAETIKKA;FI
934;HUNAJA-OMENA-VIINIETIKKA;FI
936;MIETO VIINI, 4-5 TIL% ALKOHOLIA;FI
937;TEE, VIHREÄ TEE;FI
938;VIRVOITUSJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FI
939;SIIDERI, MAKEA, 4,7 TIL% ALKOHOLIA;FI
940;OLUT, VAHVA, 7,5- 8 TIL% ALKOHOLIA;FI
941;VIRVOITUSJUOMA, KOLAJUOMA LIGHT, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FI
942;KERMALIKÖÖRI, 15-17 TIL% ALKOHOLIA;FI
946;TÄRKKELYSSIIRAPPI, GLUKOOSISIIRAPPI;FI
1554;JUUSTONAKSU;FI
5007;VOILEIPÄPIKKELSSI;FI
11001;VAALEA JUURIKASVIS KESKIARVO;FI
11002;TUMMANVIHREÄ LEHTIKASVIS KESKIARVO;FI
11004;MÄTI KESKIARVO;FI
11005;NELJÄN VILJAN HIUTALE;FI
11007;RUUSUNMARJA;FI
11012;MANSIKKAHILLO, KOTITEKOINEN, SOKERIA 54 G/100 G;FI
11013;APPELSIINIMARMELADI;FI
11014;PALMUÖLJY;FI
11030;JAUHO, RUISSIHTIJAUHO;FI
11045;APPELSIINI, KUORITTU;FI
11046;MANDARIINI, KUORITTU;FI
11047;GREIPPI, KUORITTU;FI
11048;SITRUUNA, KUORITTU;FI
11049;BANAANI, KUORITTU;FI
11050;KIIVI, KUORITTU;FI
11051;PERSIKKA/NEKTARIINI, KUORITTU, KIVETÖN;FI
11052;KIRSIKKA, KIVETÖN;FI
11053;LUUMU, KIVETÖN;FI
11054;APRIKOOSI, KESKIARVO, KIVETÖN;FI
